date|precipitation
2003-01-01|3.0654464
2003-01-02|2.4029598
2003-01-03|3.1529944
2003-01-04|1.4083062
2003-01-05|1.9828979
2003-01-06|4.1273427
2003-01-07|1.6063657
2003-01-08|2.1888332
2003-01-09|1.722337
2003-01-10|1.1291173
2003-01-11|1.9436066
2003-01-12|1.6594361
2003-01-13|1.0478002
2003-01-14|1.037574
2003-01-15|1.9239217
2003-01-16|1.360155
2003-01-17|0.85288763
2003-01-18|1.7197896
2003-01-19|3.101063
2003-01-20|2.5216322
2003-01-21|1.8882223
2003-01-22|1.326646
2003-01-23|1.1636072
2003-01-24|1.496053
2003-01-25|1.0120683
2003-01-26|1.6017679
2003-01-27|1.9084803
2003-01-28|1.7143909
2003-01-29|1.1322116
2003-01-30|1.8847792
2003-01-31|1.2438362
2003-02-01|1.8320285
2003-02-02|0.7701805
2003-02-03|0.5706669
2003-02-04|0.8268953
2003-02-05|1.8353462
2003-02-06|1.5680292
2003-02-07|2.2913659
2003-02-08|1.6890862
2003-02-09|2.029674
2003-02-10|2.3732936
2003-02-11|2.9557507
2003-02-12|3.6019325
2003-02-13|3.3700728
2003-02-14|1.4277158
2003-02-15|1.9722599
2003-02-16|2.234408
2003-02-17|1.8091679
2003-02-18|1.6298668
2003-02-19|1.1324043
2003-02-20|1.6458292
2003-02-21|1.0574988
2003-02-22|0.80585426
2003-02-23|0.47860366
2003-02-24|0.52529305
2003-02-25|1.4282272
2003-02-26|2.4246523
2003-02-27|1.7004796
2003-02-28|1.4369925
2003-03-01|0.9798526
2003-03-02|0.7733257
2003-03-03|1.2129639
2003-03-04|1.6056956
2003-03-05|0.9020936
2003-03-06|0.6773679
2003-03-07|1.5328981
2003-03-08|1.240333
2003-03-09|1.3359363
2003-03-10|0.91759783
2003-03-11|2.1588647
2003-03-12|1.9421389
2003-03-13|1.5452281
2003-03-14|1.0730964
2003-03-15|2.4403868
2003-03-16|2.288314
2003-03-17|1.5069566
2003-03-18|1.0610925
2003-03-19|1.6362429
2003-03-20|1.4443625
2003-03-21|3.328006
2003-03-22|5.295098
2003-03-23|4.000021
2003-03-24|4.047304
2003-03-25|3.70574
2003-03-26|4.413197
2003-03-27|2.219092
2003-03-28|4.399629
2003-03-29|5.528611
2003-03-30|5.087937
2003-03-31|3.1734784
2003-04-01|3.2773573
2003-04-02|2.0836325
2003-04-03|1.9411365
2003-04-04|1.8144555
2003-04-05|4.736363
2003-04-06|2.1498666
2003-04-07|0.7235495
2003-04-08|1.0845212
2003-04-09|0.8031841
2003-04-10|2.0775843
2003-04-11|1.1932638
2003-04-12|2.1644819
2003-04-13|2.391514
2003-04-14|2.0636508
2003-04-15|3.042653
2003-04-16|2.8125932
2003-04-17|2.989184
2003-04-18|4.6371217
2003-04-19|4.4906864
2003-04-20|5.1791286
2003-04-21|4.8906245
2003-04-22|4.9337783
2003-04-23|5.4796824
2003-04-24|5.544715
2003-04-25|3.3679435
2003-04-26|4.6510286
2003-04-27|5.6854153
2003-04-28|6.5470724
2003-04-29|6.348297
2003-04-30|6.1997814
2003-05-01|5.91562
2003-05-02|1.4357855
2003-05-03|2.2881863
2003-05-04|1.6604204
2003-05-05|2.3690848
2003-05-06|2.997867
2003-05-07|1.0147854
2003-05-08|2.2932107
2003-05-09|1.2759023
2003-05-10|1.9162016
2003-05-11|1.521186
2003-05-12|2.046213
2003-05-13|2.2707133
2003-05-14|3.119515
2003-05-15|4.173377
2003-05-16|1.9249761
2003-05-17|2.1487885
2003-05-18|1.2806988
2003-05-19|1.6210229
2003-05-20|2.413721
2003-05-21|3.2296195
2003-05-22|2.9973173
2003-05-23|2.3377063
2003-05-24|3.9066691
2003-05-25|2.5144358
2003-05-26|3.2754126
2003-05-27|2.9600954
2003-05-28|3.743831
2003-05-29|2.239275
2003-05-30|2.4974082
2003-05-31|3.2123573
2003-06-01|3.4625623
2003-06-02|2.2174854
2003-06-03|1.2401713
2003-06-04|1.5380157
2003-06-05|1.9059694
2003-06-06|1.4648114
2003-06-07|1.1845132
2003-06-08|1.9505504
2003-06-09|2.6096194
2003-06-10|2.5015128
2003-06-11|1.6094074
2003-06-12|1.3175231
2003-06-13|1.0558871
2003-06-14|1.563863
2003-06-15|1.9731591
2003-06-16|2.215299
2003-06-17|1.9268426
2003-06-18|1.425297
2003-06-19|1.1483712
2003-06-20|2.4079216
2003-06-21|1.6175228
2003-06-22|1.9907076
2003-06-23|2.8090641
2003-06-24|2.2328725
2003-06-25|1.8897521
2003-06-26|0.7365955
2003-06-27|1.6629531
2003-06-28|2.4557836
2003-06-29|1.9088352
2003-06-30|1.4731983
2003-07-01|2.2180812
2003-07-02|1.8903167
2003-07-03|3.1666205
2003-07-04|2.410862
2003-07-05|2.164606
2003-07-06|2.4330132
2003-07-07|2.5014403
2003-07-08|2.4008977
2003-07-09|2.0986392
2003-07-10|3.2153473
2003-07-11|2.9261067
2003-07-12|1.4811264
2003-07-13|1.7895131
2003-07-14|1.635543
2003-07-15|0.78630733
2003-07-16|1.1497388
2003-07-17|2.1719759
2003-07-18|2.5831358
2003-07-19|1.8141371
2003-07-20|1.7920346
2003-07-21|2.379434
2003-07-22|2.134701
2003-07-23|2.221666
2003-07-24|2.2073348
2003-07-25|1.1341387
2003-07-26|0.98112327
2003-07-27|1.3769318
2003-07-28|1.3522127
2003-07-29|1.174359
2003-07-30|3.399363
2003-07-31|3.5798457
2003-08-01|1.251969
2003-08-02|1.3143392
2003-08-03|3.0243604
2003-08-04|0.6919333
2003-08-05|2.2859893
2003-08-06|2.9360008
2003-08-07|2.1690092
2003-08-08|2.1900222
2003-08-09|2.0050073
2003-08-10|2.1096723
2003-08-11|0.95875186
2003-08-12|0.7204458
2003-08-13|2.4333644
2003-08-14|4.1146646
2003-08-15|2.5961692
2003-08-16|3.4384856
2003-08-17|2.7429872
2003-08-18|2.478288
2003-08-19|2.7586045
2003-08-20|3.1981583
2003-08-21|2.831149
2003-08-22|2.934333
2003-08-23|1.6263622
2003-08-24|3.0287528
2003-08-25|2.2714622
2003-08-26|2.5235105
2003-08-27|4.1494627
2003-08-28|2.3521795
2003-08-29|1.2129655
2003-08-30|2.1813722
2003-08-31|2.267134
2003-09-01|1.7449644
2003-09-02|1.9020656
2003-09-03|2.011145
2003-09-04|2.1172752
2003-09-05|1.7855686
2003-09-06|3.104263
2003-09-07|2.5075676
2003-09-08|2.973731
2003-09-09|2.2131033
2003-09-10|1.5670135
2003-09-11|1.6309029
2003-09-12|1.3851821
2003-09-13|1.0308728
2003-09-14|3.0668383
2003-09-15|2.5792937
2003-09-16|1.7056739
2003-09-17|1.2906858
2003-09-18|0.83761716
2003-09-19|1.1717503
2003-09-20|1.0787355
2003-09-21|1.4996406
2003-09-22|1.627779
2003-09-23|3.422607
2003-09-24|1.1311419
2003-09-25|0.9291331
2003-09-26|1.5460386
2003-09-27|2.478887
2003-09-28|1.3648131
2003-09-29|1.0673703
2003-09-30|1.4398044
2003-10-01|1.0753618
2003-10-02|1.413815
2003-10-03|1.0924494
2003-10-04|1.0334094
2003-10-05|1.1684644
2003-10-06|1.6035764
2003-10-07|1.2374083
2003-10-08|0.9005634
2003-10-09|1.1478472
2003-10-10|1.6853895
2003-10-11|1.5791063
2003-10-12|0.9926259
2003-10-13|1.1922673
2003-10-14|2.180342
2003-10-15|1.6688055
2003-10-16|2.6828167
2003-10-17|2.4727418
2003-10-18|1.5348221
2003-10-19|1.885972
2003-10-20|1.878421
2003-10-21|1.7470073
2003-10-22|1.6019418
2003-10-23|1.222497
2003-10-24|2.4293294
2003-10-25|2.1469452
2003-10-26|0.9778478
2003-10-27|1.4765718
2003-10-28|1.6465619
2003-10-29|1.7487221
2003-10-30|1.6299359
2003-10-31|1.195173
2003-11-01|1.3594143
2003-11-02|2.2260795
2003-11-03|1.8209563
2003-11-04|1.6674849
2003-11-05|1.5289819
2003-11-06|2.0949209
2003-11-07|1.8537614
2003-11-08|2.158869
2003-11-09|2.559431
2003-11-10|2.072278
2003-11-11|1.4057125
2003-11-12|0.75830895
2003-11-13|2.0874543
2003-11-14|2.2900543
2003-11-15|1.9337404
2003-11-16|1.1880325
2003-11-17|2.869256
2003-11-18|1.5162038
2003-11-19|2.605114
2003-11-20|1.8210084
2003-11-21|1.9890944
2003-11-22|2.0068753
2003-11-23|2.3162053
2003-11-24|2.678066
2003-11-25|1.3963102
2003-11-26|1.992049
2003-11-27|2.5535152
2003-11-28|3.7138767
2003-11-29|3.1863804
2003-11-30|1.6601027
2003-12-01|1.3335721
2003-12-02|1.2502786
2003-12-03|1.8894832
2003-12-04|2.4961364
2003-12-05|3.4378347
2003-12-06|3.6713338
2003-12-07|3.663873
2003-12-08|3.9340954
2003-12-09|3.9308321
2003-12-10|2.617219
2003-12-11|1.9448678
2003-12-12|2.7743843
2003-12-13|3.438575
2003-12-14|3.962024
2003-12-15|2.8043206
2003-12-16|2.0290828
2003-12-17|2.3395534
2003-12-18|2.3414807
2003-12-19|1.8798593
2003-12-20|1.7568369
2003-12-21|3.0708938
2003-12-22|4.174828
2003-12-23|1.6379209
2003-12-24|1.1580354
2003-12-25|2.8114922
2003-12-26|2.0390687
2003-12-27|0.98875886
2003-12-28|1.0952647
2003-12-29|1.4946455
2003-12-30|1.4471402
2003-12-31|1.9123266
2004-01-01|2.1608067
2004-01-02|1.903459
2004-01-03|2.1116388
2004-01-04|2.1879869
2004-01-05|1.026686
2004-01-06|0.79500246
2004-01-07|1.5360181
2004-01-08|2.5342917
2004-01-09|2.268729
2004-01-10|1.7045177
2004-01-11|3.5305037
2004-01-12|3.6954267
2004-01-13|3.0924664
2004-01-14|3.8415468
2004-01-15|3.1740162
2004-01-16|2.7530787
2004-01-17|1.8848248
2004-01-18|3.857209
2004-01-19|1.7361071
2004-01-20|1.283143
2004-01-21|2.100921
2004-01-22|4.8629236
2004-01-23|7.2779675
2004-01-24|3.3809514
2004-01-25|1.137965
2004-01-26|1.0391216
2004-01-27|1.979933
2004-01-28|2.4716418
2004-01-29|1.1209749
2004-01-30|1.0499572
2004-01-31|2.0700095
2004-02-01|2.757061
2004-02-02|2.5788643
2004-02-03|1.8586401
2004-02-04|1.7338175
2004-02-05|3.7394216
2004-02-06|0.783761
2004-02-07|2.5457108
2004-02-08|1.3517809
2004-02-09|1.1946137
2004-02-10|1.3540471
2004-02-11|0.8450745
2004-02-12|1.7467507
2004-02-13|1.0967236
2004-02-14|1.7219561
2004-02-15|1.1231486
2004-02-16|1.3730773
2004-02-17|1.3376023
2004-02-18|1.8187536
2004-02-19|1.5465147
2004-02-20|2.5815458
2004-02-21|4.194155
2004-02-22|4.3858104
2004-02-23|3.030072
2004-02-24|2.0386536
2004-02-25|3.117622
2004-02-26|3.323363
2004-02-27|2.0484257
2004-02-28|1.7866669
2004-02-29|2.6200352
2004-03-01|2.0174851
2004-03-02|1.9633129
2004-03-03|0.8527075
2004-03-04|1.6666596
2004-03-05|2.094998
2004-03-06|5.6457534
2004-03-07|5.9911685
2004-03-08|2.847956
2004-03-09|2.3905642
2004-03-10|2.0326736
2004-03-11|5.583103
2004-03-12|2.1378365
2004-03-13|1.5398529
2004-03-14|2.7086055
2004-03-15|1.2861154
2004-03-16|1.8858318
2004-03-17|1.7138525
2004-03-18|1.3500048
2004-03-19|0.85711354
2004-03-20|1.4457928
2004-03-21|0.90568113
2004-03-22|0.81616443
2004-03-23|1.4091226
2004-03-24|1.3596755
2004-03-25|1.8533382
2004-03-26|2.0684125
2004-03-27|1.8325639
2004-03-28|1.6073153
2004-03-29|2.5814857
2004-03-30|5.466446
2004-03-31|5.930479
2004-04-01|4.826091
2004-04-02|3.9885294
2004-04-03|4.707372
2004-04-04|7.3164806
2004-04-05|8.298002
2004-04-06|4.7556467
2004-04-07|3.9432418
2004-04-08|2.486485
2004-04-09|3.4407742
2004-04-10|5.1273103
2004-04-11|6.1707497
2004-04-12|2.5795927
2004-04-13|2.488775
2004-04-14|2.582914
2004-04-15|1.4473538
2004-04-16|2.2444115
2004-04-17|1.9981169
2004-04-18|3.1901958
2004-04-19|3.5428643
2004-04-20|5.4891415
2004-04-21|4.152646
2004-04-22|2.7448864
2004-04-23|2.439231
2004-04-24|2.6151023
2004-04-25|2.1661513
2004-04-26|2.604342
2004-04-27|2.876796
2004-04-28|3.7199836
2004-04-29|2.0227885
2004-04-30|3.6188076
2004-05-01|2.7098203
2004-05-02|3.0591905
2004-05-03|3.1694648
2004-05-04|1.2901995
2004-05-05|0.7116276
2004-05-06|0.63762385
2004-05-07|1.6629148
2004-05-08|1.3107015
2004-05-09|0.80612385
2004-05-10|0.7185359
2004-05-11|0.7934722
2004-05-12|1.0700543
2004-05-13|2.521542
2004-05-14|0.8996574
2004-05-15|0.6874585
2004-05-16|0.9498783
2004-05-17|1.2744869
2004-05-18|0.19613682
2004-05-19|0.66400486
2004-05-20|0.78998107
2004-05-21|1.0530044
2004-05-22|0.37099186
2004-05-23|0.49429595
2004-05-24|0.5595209
2004-05-25|1.2820009
2004-05-26|1.7790304
2004-05-27|1.4417782
2004-05-28|1.95514
2004-05-29|1.5808958
2004-05-30|1.3946484
2004-05-31|2.043669
2004-06-01|1.016151
2004-06-02|2.5266004
2004-06-03|1.5767955
2004-06-04|1.7256514
2004-06-05|2.6676407
2004-06-06|3.1252794
2004-06-07|2.9124923
2004-06-08|0.8788615
2004-06-09|1.938734
2004-06-10|1.2740046
2004-06-11|1.7853506
2004-06-12|0.7403049
2004-06-13|0.9454736
2004-06-14|2.0990663
2004-06-15|1.4129149
2004-06-16|0.86895865
2004-06-17|1.0962421
2004-06-18|1.9370489
2004-06-19|1.5343359
2004-06-20|1.7522295
2004-06-21|1.9822419
2004-06-22|2.3564823
2004-06-23|2.0140665
2004-06-24|1.4918839
2004-06-25|2.8214195
2004-06-26|2.14023
2004-06-27|1.2000151
2004-06-28|1.4319767
2004-06-29|0.89190674
2004-06-30|1.1215464
2004-07-01|1.6262091
2004-07-02|1.1440498
2004-07-03|1.0985794
2004-07-04|0.69373804
2004-07-05|0.9767432
2004-07-06|1.8029088
2004-07-07|1.1822152
2004-07-08|0.91719663
2004-07-09|0.98269373
2004-07-10|2.1691704
2004-07-11|1.8663865
2004-07-12|1.390018
2004-07-13|1.8135009
2004-07-14|2.6128545
2004-07-15|3.0434928
2004-07-16|1.7308084
2004-07-17|2.60994
2004-07-18|1.9796306
2004-07-19|1.5902854
2004-07-20|1.5395749
2004-07-21|1.4038427
2004-07-22|2.2149634
2004-07-23|1.9733101
2004-07-24|1.4749011
2004-07-25|2.0210526
2004-07-26|2.0762334
2004-07-27|2.6700401
2004-07-28|1.8333559
2004-07-29|2.310537
2004-07-30|1.8095342
2004-07-31|1.7994654
2004-08-01|4.348034
2004-08-02|2.4114401
2004-08-03|2.2612484
2004-08-04|2.0937753
2004-08-05|1.0998414
2004-08-06|1.9982331
2004-08-07|2.7236786
2004-08-08|1.7309263
2004-08-09|1.5664631
2004-08-10|2.639557
2004-08-11|3.04403
2004-08-12|2.1748095
2004-08-13|1.8075323
2004-08-14|2.0384233
2004-08-15|2.7962081
2004-08-16|1.4810796
2004-08-17|2.3181136
2004-08-18|2.3376288
2004-08-19|2.01056
2004-08-20|1.9163326
2004-08-21|1.1597042
2004-08-22|0.9821805
2004-08-23|1.5492796
2004-08-24|1.9166874
2004-08-25|2.1828089
2004-08-26|1.9693975
2004-08-27|2.1330843
2004-08-28|0.99043286
2004-08-29|1.3858824
2004-08-30|1.7287198
2004-08-31|2.5964563
2004-09-01|1.5617255
2004-09-02|1.8545501
2004-09-03|3.5760143
2004-09-04|1.4217548
2004-09-05|1.4507613
2004-09-06|2.3582191
2004-09-07|2.6980867
2004-09-08|1.9549968
2004-09-09|0.9268525
2004-09-10|1.3080724
2004-09-11|2.7549257
2004-09-12|1.5244305
2004-09-13|2.52288
2004-09-14|2.1502635
2004-09-15|1.1543976
2004-09-16|1.5097448
2004-09-17|1.521802
2004-09-18|2.4530225
2004-09-19|1.486685
2004-09-20|1.9786813
2004-09-21|3.4932926
2004-09-22|1.4661514
2004-09-23|2.2427814
2004-09-24|1.4978758
2004-09-25|2.4319768
2004-09-26|2.1331134
2004-09-27|2.0661397
2004-09-28|3.0947049
2004-09-29|1.4498739
2004-09-30|1.4535401
2004-10-01|1.8452482
2004-10-02|1.6451015
2004-10-03|1.7029971
2004-10-04|1.4848324
2004-10-05|2.3919847
2004-10-06|1.2758609
2004-10-07|0.5565273
2004-10-08|1.0748006
2004-10-09|2.3742206
2004-10-10|1.2573034
2004-10-11|2.9053042
2004-10-12|2.636549
2004-10-13|2.120054
2004-10-14|2.237808
2004-10-15|1.9703076
2004-10-16|2.8633258
2004-10-17|2.8569157
2004-10-18|3.0050375
2004-10-19|1.6923624
2004-10-20|1.2640592
2004-10-21|1.6257601
2004-10-22|1.762929
2004-10-23|2.2929292
2004-10-24|1.9849455
2004-10-25|3.2580585
2004-10-26|4.8120494
2004-10-27|6.6985745
2004-10-28|5.0086684
2004-10-29|3.8409507
2004-10-30|3.1038368
2004-10-31|6.100779
2004-11-01|3.941983
2004-11-02|4.356522
2004-11-03|3.7034228
2004-11-04|2.2514844
2004-11-05|2.4780324
2004-11-06|2.0169673
